what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926226646
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926234696
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926236958
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417926248384
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417926248498
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417926254123
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417926254357
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417926254481
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417926266495
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417926271436
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417926278023
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926280657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926282785
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417926286251
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1417926289338
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417926292680
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417926292955
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417926293961
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926305094
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926322140
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1417926322178
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417926325777
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417926333582
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926336346
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926389961
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1417926390003
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926396148
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926398409
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417926406492
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417926411237
error,log,,,"Unhandled event loop exception",1417926417994
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1417926427481
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417926427535
